,Instrument,Business Description
10,NESTE.HE,"Neste Oyj is a Finland-based company engaged in the refining and marketing of petroleum and petroleum products. The Company’s business activities are divided into four reporting segments: Renewable Products, Oil Products, Marketing & Services and Others. The Renewable Products segment produces, markets and sells renewable diesel, renewable jet fuels and solutions, renewable solvents, as well as raw material for bioplastics. The Oil Products segment produces, markets and sells a range of low carbon solutions that are based on oil products, such us diesel fuel, gasoline, aviation and marine fuels, light and heavy fuel oils, among others. The Marketing & Services segment markets and sells petroleum products and associated services. The Others segment consists of the engineering and technology solutions company Neste Engineering Solutions, Nynas and Petroleos de Venezuela. The Company operates a network of around 1000 stations in Finland and the Baltic countries."
11,MOCORP.HE,"Metso Outotec Oyj is a Finland-based company that provides process solutions, technologies, and services for the mining and metallurgical industries. Its operations are divided into two segments: Minerals Processing and Metals Refining. Minerals Processing segment consists of six business lines which have been classified as operating segments in 2019: Grinding, Flotation, Filtration, Analyzers and Automation, Thickening and Clarification and Concentrator Plant Solutions. This operating segments have been aggregated to one segment due to their common customers, shared projects and interlink between technologies to form a complete Concentrator Plant. Metals Refining segment consists of three business lines which have been classified as operating segments in 2019: Smelting and Converting, Hydrometallurgy and Metals and Chemicals processing. This operating segments have been aggregated to one segment as they operate in similar regulatory environment and have similar characteristics."
12,QTCOM.HE,"Qt Group Oyj is a Finland-based company, which is primarily involved in the software development industry. The Company is engaged in the software development, productization and licensing under commercial and open-source licenses. It operates a programming language- based framework of libraries and tools that enables the development of interactive and cross-platform applications and devices. The Company is focused on two technology implementations, such as Qt for Application Development and Qt for Device Creation. The Qt for Application Development division offers cross-platform application and user interfaces development. The Qt for Device Creation division provides Internet of Things (IoT) solutions."
13,STERV.HE,"Stora Enso Oyj is a provider of renewable solutions in packaging, biomaterials, wooden constructions and paper on global markets. The Company's segments include Consumer Board, Packaging Solutions, Biomaterials, Wood Products, Paper and Other. The Consumer Board segment develops and provides consumer packaging boards for printing and packaging applications. The Packaging Solutions segment develops fiber-based packaging, and operates at every stage of the value chain from pulp production, material and packaging production to recycling. The Biomaterials segment offers pulp grades for paper, board, tissue, textile and hygiene product producers. The Wood Products segment provides wood-based solutions for building and housing. The Paper segment provides paper solutions for print media and office use. The Other segment includes the Nordic forest equity accounted investments. It serves publishers, retailers, printing houses, merchants, converters and joinery, and construction companies."
14,SAMPO.HE,"Sampo Oyj is a Finland-based company engaged in investment activities. It is the parent company of the Sampo Group. The Company operates, through its subsidiaries, in two segments: P&C (property and casualty) insurance, and life insurance under If and Mandatum Life brands, respectively. The If P&C insurance segment is divided into four business areas: the Private area offers private customers household, homeowner, motor and accident insurance, as well as different kinds of supplementary insurances, such as travel, boat, forest and livestock insurance; the Commercial area offers insurances to companies covering property, liability, casualty and cargo; the Industrial area provides industrial customers with property, liability and cargo insurances, as well as casualty insurances, and the Baltic area covers both private individuals and corporate customers. Mandatum Life offers private and corporate customers services in wealth management, rewards and incentives and risk insurance."
15,NOKIA.HE,"Nokia Oyj is a Finland-based company engaged in the network and Internet protocol (IP) infrastructure, software, and related services market. The Company's businesses include Nokia Networks and Nokia Technologies. The Company's segments include Ultra Broadband Networks, IP Networks and Applications, and Nokia Technologies. The Ultra Broadband Networks segment comprises Mobile Networks and Fixed Networks operating segments. The IP Networks and Applications segment comprises IP/Optical Networks and Applications & Analytics operating segments. The Applications & Analytics operating segment offers software solutions spanning customer experience management, network operations and management, communications and collaboration, policy and charging, as well as Cloud, Internet of things (IoT), security, and analytics platforms that enable digital services providers and enterprises to accelerate and optimize their customer experience. The Company has Comptel Oyj among its subsidiaries."
16,FORTUM.HE,"Fortum Oyj is a Finland-based energy company. The Company provides its customers with electricity, gas, heating and cooling services. Its reportable segments are Generation, Russia, City Solutions, Consumer Solutions and Uniper. The Generation segment comprises nuclear, hydro, wind, and thermal power generation, as well as power portfolio optimisation, trading, industrial intelligence, and global nuclear services. The Russia segment comprises power and heat generation and sales in Russia. The City Solutions is responsible for sustainable solutions for urban areas and comprises heating, cooling. The Consumer Solutions is responsible for the electricity and gas retail businesses in the Nordics, Poland and Spain, including the customer service and invoicing businesses and The Uniper segment, where Uniper is an international energy company and its business is the secure provision of energy and related services in Europe and Russia. The Company operates worldwide."
17,WRT1V.HE,"Wartsila Oyj Abp is a Finland-based company, which manufactures and services power sources and other equipment in the marine and energy markets. The Company has a new organizational structure, which became operational in 2020. In the new organizational structure, Marine Power, Marine Systems, Voyage, and Energy constitute the reportable segments of the Group, while Portfolio Business continues to be reported as other business activities. The Marine Power segment focuses on comprehensive range of engine and propulsion solutions. The Marine Systems segment consists of four end-to-end business units: Exhaust Treatment, Gas Solutions, Marine Electrical Systems, and Shaft Line Solutions. The Voyage segment helps transform the way vessels perform their voyage by leveraging the latest digital technologies. The Energy segment offering comprises flexible power plants, energy offering comprises flexible powerplants. The Portfolio Business segment consists of multiple business units."
18,NDAFI.HE,"Nordea Bank Abp is a Finland-based universal bank. The Bank operates within four business areas, such as Personal Banking, Business Banking, Large Corporates & Institutions and Asset & Wealth Management. Personal Banking provides services and solutions for the Bank's household customers in the Nordic markets. Business Banking serves small, mid-sized and big corporate customers in Scandinavia. Its business area also houses the unit Transaction Banking which manages card services for all Nordea’s customers. Large Corporates & Institutions provides financial solutions to big Nordic and international corporations The international network offers services to customers within shipping, offshore, oil, corporate & investment banking and commercial banking. Asset & Wealth Management is the area within Nordea that offers savings and investment products and manages customers’ accumulated wealth."
19,ELISA.HE,"Elisa Oyj is a Finland-based Company engaged in the provision of Information and Communication Technology (ICT) services in Finland and Estonia. The Company operates within two business segments: Consumer Customers and Corporate Customers. The Consumer Customers segment provides consumers and households with telecommunications services, such as voice and data services. The Corporate Customers segment provides to the corporate and community customers voice and data services, ICT solutions and contact center services. All the services are provided under the Elisa and Saunalahti brands. The Company’s global alliance partners are Vodafone and Telenor. The Company operates through its subsidiaries, including Appelsiini Finland Oy, Arediv Oy, Ecosite Oy, Elisa Eesti As and Tampereen Tietoverkko Oy, among others."
20,UPM.HE,"UPM-Kymmene Corporation (UPM) is a global forest company. The Company's segments include UPM Biorefining, UPM Energy, UPM Raflatac, UPM Specialty Papers, UPM Paper ENA, UPM Plywood and Other operations. The UPM Biorefining segment consists of pulp, timber and biofuels businesses. The UPM Energy segment is an electricity producer. The UPM Raflatac segment manufactures self-adhesive label materials for product and information labelling. The UPM Specialty Papers segment serves global markets with label papers and release liners, office papers in Asia and flexible packaging in Europe. The UPM Paper ENA segment offers graphic papers for advertising, magazines, newspapers, and home and office. The UPM Plywood segment offers plywood and veneer products, mainly for construction, vehicle flooring and liquefied natural gas shipbuilding, and other manufacturing industries. The Other operations segment includes wood sourcing and forestry, UPM Biocomposites and UPM Biochemicals business units."
21,TIETO.HE,"Tieto Oyj is a Finland-based company engaged in the provision of Information Technology (IT) services for both private and public sectors. The Company operates in four service lines: Industry solutions, Enterprise Solutions, Managed Services and Transformation, and Product Engineering Solutions. The Company focuses on developing its services and products within its Product Development Services business area, which offers solutions for telecom network equipment and platform providers, mobile device and consumer electronics manufacturers, as well as semiconductor providers. The Company's Customer Experience Management business area specializes in multichannel commerce for clients, reaching from retail and financial services to manufacturing, telecom and energy. It operates through numerous subsidiaries in Finland, Sweden, Austria, Belgium, Canada, China, the Czech Republic, Denmark, Germany, Estonia, Lithuania, Norway, Poland, and the Russian Federation, among others."
22,KCRA.HE,"Konecranes Abp is a Finland-based provider of maintenance services and spare parts for industrial equipment. The Company operates within three segments: Service, which provides specialized maintenance services and spare parts for all types of cranes and hoists, from a single piece of equipment to entire operations; Industrial Equipment offers industrial cranes, their components and lifting equipment solutions for a range of customers, including industries like general manufacturing, waste-to-energy and biomass, paper, power, automotive, aviation and metals production; and Port Solutions, which comprises container handling equipment, shipyard cranes, mobile harbor cranes and heavy-duty container handling and fork lift trucks, supported by a range of software solutions and services. The Company conducts operations in around 50 countries."
23,HUH1V.HE,"Huhtamaki Oyj is a Finland-based company engaged in packaging for food and drink. It reports four operating segments: Foodservice Europe-Asia-Oceania, which covers manufacturing of foodservice paper and plastic disposable tableware, supplied to foodservice operators, fast food restaurants and coffee shops; North America, which serves local markets with disposable tableware products under the Chinet brand, foodservice packaging products and ice-cream containers, among others; Flexible Packaging, which includes a range of consumer products, including food, pet food, hygiene and health care products; and Fiber Packaging, which covers recycled and other natural fibers that are used to make fresh product packaging, such as egg, fruit, food and drink packaging. The Company operates a network of manufacturing units in more than 30 countries within such regions as Europe, North and South America, Africa, Middle East, Asia and Oceania."
24,KESKOB.HE,"Kesko Oyj is a Finland-based provider of services to the trading sector. The Company operates four divisions. The Food Trade division manages the K-food store chains, such as K-Citymarket, K-Supermarket, K-Market, K-Pyoka and K-Extra, as well as Pirkka and Kespro brands. The Home and Specialty Goods Trade division provides customers with products and services related to clothing, home, sports, leisure, home technology, entertainment, interior decoration and furniture. The Building and Home Improvement Trade operates the K-Rauta, Rautia, K-Maatalous, Byggmakker, Rautakesko, Senukai and OMA retail chains. The Car and Machinery Trade division consists of VV-Auto, which imports and markets cars, such as Volkswagen, Audi and Seat, and Konekesko, which specializes in the import and sale of construction, materials handling, environmental and agricultural machinery, trucks and buses, as well as recreational machinery."
